Week,ethereum
03/01/16,1
10/01/16,1
17/01/16,1
24/01/16,2
31/01/16,1
07/02/16,3
14/02/16,2
21/02/16,2
28/02/16,4
06/03/16,4
13/03/16,5
20/03/16,3
27/03/16,4
03/04/16,3
10/04/16,3
17/04/16,2
24/04/16,2
01/05/16,3
08/05/16,3
15/05/16,5
22/05/16,5
29/05/16,4
05/06/16,3
12/06/16,8
19/06/16,7
26/06/16,4
03/07/16,3
10/07/16,3
17/07/16,4
24/07/16,5
31/07/16,4
07/08/16,3
14/08/16,2
21/08/16,2
28/08/16,2
04/09/16,2
11/09/16,2
18/09/16,3
25/09/16,3
02/10/16,2
09/10/16,3
16/10/16,3
23/10/16,3
30/10/16,2
06/11/16,2
13/11/16,2
20/11/16,2
27/11/16,2
04/12/16,2
11/12/16,2
18/12/16,2
25/12/16,2
01/01/17,4
08/01/17,3
15/01/17,3
22/01/17,2
29/01/17,2
05/02/17,2
12/02/17,3
19/02/17,3
26/02/17,6
05/03/17,5
12/03/17,12
19/03/17,11
26/03/17,8
02/04/17,7
09/04/17,6
16/04/17,6
23/04/17,10
30/04/17,18
07/05/17,14
14/05/17,15
21/05/17,46
28/05/17,37
04/06/17,43
11/06/17,74
18/06/17,55
25/06/17,55
02/07/17,34
09/07/17,40
16/07/17,39
23/07/17,27
30/07/17,24
06/08/17,31
13/08/17,31
20/08/17,28
27/08/17,32
03/09/17,30
10/09/17,27
17/09/17,22
24/09/17,19
01/10/17,18
08/10/17,24
15/10/17,28
22/10/17,23
29/10/17,27
05/11/17,31
12/11/17,28
19/11/17,44
26/11/17,66
03/12/17,76
10/12/17,100
17/12/17,87
24/12/17,56
31/12/17,74
07/01/18,98
14/01/18,79
21/01/18,44
28/01/18,49
04/02/18,44
11/02/18,30
18/02/18,26
25/02/18,22
04/03/18,22
11/03/18,21
18/03/18,20
25/03/18,21
01/04/18,17
08/04/18,15
